method,variable,bias,rmse,mae
Da Xu DL,a_e5,-0.6585046585046584,1.190183869386134,0.6591206591206591
Da Xu DL,a_e6,-2.1819944944944947,2.6561968166865646,2.1839964964964964
Da Xu DL,a_e7,-0.5536536536536537,1.0712430166469245,0.556056056056056
Da Xu DL,a_hn1,-1.9386052719386053,2.4494533422059335,1.9404738071404737
Da Xu DL,a_hn10,-3.4563563563563564,3.5699339119960136,3.4565565565565564
Da Xu DL,a_hn2,-1.0464964964964965,1.5400261664747532,1.0538038038038038
Da Xu DL,a_hn3,-0.5266516516516516,1.0030777542977811,0.5307390724057391
Da Xu DL,a_hn4,-2.588838838838839,2.9510683643027122,2.5889222555889218
Da Xu DL,a_hn5,-1.7072527072527073,2.2845427352015557,1.70989170989171
Da Xu DL,a_hn7,-1.9860336527003193,2.47673771473843,1.988130988130988
Da Xu DL,ge1,-1.092092092092092,1.4572479352178371,1.0944277610944277
Da Xu DL,ge2,-2.3142517517517516,2.6132714210528767,2.3142517517517516
Da Xu DL,ge3,-0.6598534017888856,1.2107864010744818,0.6643740514708257
Da Xu DL,ge4,-1.5680225680225681,1.9784216528524676,1.570752570752571
Da Xu DL,ge5,-1.172809172809173,1.67671806687313,1.1757211757211756
Da Xu DL,ge6,-1.803003003003003,2.19607855913377,1.8064064064064063
